,Class,TP Rate,FP Rate,TN Rate,FN Rate
0,ignore,0.3669950738916256,0.3364485981308411,0.6635514018691588,0.6330049261083743
1,pedestrian,0.29396984924623115,0.35300925925925924,0.6469907407407407,0.7060301507537688
2,person group,0.013888888888888888,0.019327731092436976,0.980672268907563,0.9861111111111112
3,person (other),0.047619047619047616,0.05087572977481234,0.9491242702251876,0.9523809523809523
4,rider,0.20080321285140562,0.2102665350444225,0.7897334649555775,0.7991967871485943
5,sitting person,0.013513513513513514,0.04292929292929293,0.9570707070707071,0.9864864864864865
