,ignore,pedestrian,person group,person (other),rider,sitting person
ignore,0.3669950738916256,0.3078817733990148,0.014778325123152709,0.04433497536945813,0.2315270935960591,0.034482758620689655
pedestrian,0.3592964824120603,0.29396984924623115,0.02763819095477387,0.05527638190954774,0.21608040201005024,0.04773869346733668
person group,0.3194444444444444,0.4305555555555556,0.013888888888888888,0.05555555555555555,0.1388888888888889,0.041666666666666664
person (other),0.31746031746031744,0.4126984126984127,0.031746031746031744,0.047619047619047616,0.12698412698412698,0.06349206349206349
rider,0.3293172690763052,0.3654618473895582,0.012048192771084338,0.04819277108433735,0.20080321285140562,0.04417670682730924
sitting person,0.2702702702702703,0.43243243243243246,0.013513513513513514,0.06756756756756757,0.20270270270270271,0.013513513513513514
