,precision,recall,f1-score,support
ignore,0.34096109839816935,0.3669950738916256,0.3534994068801898,406.0
pedestrian,0.2772511848341232,0.29396984924623115,0.28536585365853656,398.0
person group,0.041666666666666664,0.013888888888888888,0.020833333333333332,72.0
person (other),0.046875,0.047619047619047616,0.047244094488188976,63.0
rider,0.19011406844106463,0.20080321285140562,0.1953125,249.0
sitting person,0.019230769230769232,0.013513513513513514,0.015873015873015872,74.0
accuracy,0.2543581616481775,0.2543581616481775,0.2543581616481775,0.2543581616481775
macro avg,0.15268313126179883,0.15613159766845205,0.15302136737221075,1262.0
weighted avg,0.24048397977697292,0.2543581616481775,0.2467354695537351,1262.0
